,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
84,Bonavista,2,CA,1579928373,75,48.65,-53.11,15.01,11.99
85,Nouakchott,100,MR,1579928373,22,18.09,-15.98,68.0,8.05
86,Sirte,90,LY,1579928373,53,31.21,16.59,51.76,11.12
87,Plettenberg Bay,0,ZA,1579928374,72,-34.05,23.37,71.85,4.36
88,Krumovgrad,0,BG,1579928374,88,41.47,25.65,36.0,4.81
89,Harper,1,LR,1579928375,96,4.38,-7.72,75.81,1.79
90,Erzin,0,TR,1579928376,40,36.96,36.2,43.0,5.82
91,Dekar,81,BW,1579928376,70,-21.53,21.93,71.83,10.18
92,Disna,89,BY,1579928224,79,55.57,28.2,37.62,14.7
93,Deputatsky,1,RU,1579928289,97,69.3,139.9,-38.88,0.51
94,Bobo-Dioulasso,48,BF,1579928377,37,11.18,-4.3,69.8,6.93
95,Flin Flon,65,CA,1579928378,95,54.77,-101.86,19.87,3.94
96,Ierapetra,20,GR,1579928378,81,35.01,25.74,46.99,1.63
97,Jiazi,100,CN,1579928379,60,22.88,116.07,73.27,12.73
98,Vestmannaeyjar,100,IS,1579928379,81,63.44,-20.27,40.33,24.65
99,Mahebourg,75,MU,1579928380,94,-20.41,57.7,82.0,17.22
100,Waipawa,91,NZ,1579928277,68,-41.41,175.52,71.6,18.34
101,Chaohu,100,CN,1579928380,81,31.6,117.87,42.8,8.95
102,Hilo,90,US,1579928381,69,19.73,-155.09,75.2,3.96
103,Lucapa,96,AO,1579928381,92,-8.42,20.74,70.11,3.56
104,Konstantinovka,0,RU,1579928382,83,49.62,127.98,2.7,12.06
105,Saint-Joseph,95,RE,1579928382,88,-21.37,55.62,82.4,25.28
106,Ushtobe,100,KZ,1579928384,100,45.25,77.98,35.19,5.55
107,Toktogul,8,KG,1579928385,88,41.87,72.94,33.01,1.23
108,Caravelas,100,BR,1579928385,80,-17.71,-39.25,79.47,29.64
109,Okhotsk,0,RU,1579928386,72,59.38,143.3,-19.44,11.86
110,Santander,20,ES,1579928386,100,43.46,-3.8,52.0,2.24
111,Iqaluit,20,CA,1579928387,66,63.75,-68.51,-29.0,5.82
112,Yerbogachen,98,RU,1579928387,94,61.28,108.01,12.81,6.06
113,Turka,71,UA,1579928388,67,49.15,23.03,30.0,5.79
114,Pechora,89,RU,1579928388,98,65.15,57.22,-4.83,3.67
115,Gravelbourg,100,CA,1579928388,89,49.88,-106.55,34.75,11.05
116,Atuona,1,PF,1579928389,78,-9.8,-139.03,80.69,12.12
117,Oussouye,46,SN,1579928389,69,12.48,-16.55,73.4,2.24
118,Srednekolymsk,62,RU,1579928390,90,67.45,153.68,-37.91,5.91
119,Tagusao,35,PH,1579928390,68,9.19,117.81,84.45,7.87
120,Provideniya,30,RU,1579928267,95,64.38,-173.3,-9.51,5.5
121,Pampa,1,US,1579928391,64,35.54,-100.96,50.0,10.29
122,Puerto Ayora,16,EC,1579928392,51,-0.74,-90.35,77.0,10.78
123,Hvolsvollur,100,IS,1579928392,98,63.75,-20.22,32.0,20.0
124,Virginia Beach,40,US,1579928393,93,36.85,-75.98,60.01,9.17
125,Ostrovnoy,100,RU,1579928393,91,68.05,39.51,7.65,2.55
126,Kahului,20,US,1579928119,73,20.89,-156.47,75.2,11.41
127,Gizo,62,SB,1579928394,73,-8.1,156.84,81.55,7.83
128,Lebu,0,CL,1579928395,70,-37.62,-73.65,55.17,7.07
129,Butaritari,100,KI,1579928395,71,3.07,172.79,84.97,5.68
130,Manado,40,ID,1579928281,70,1.49,124.85,87.8,10.29
131,Saint George's,75,GD,1579928396,88,12.06,-61.75,77.0,3.36
132,George Town,20,MY,1579928396,59,5.41,100.34,89.6,8.05
133,Arraial do Cabo,5,BR,1579928270,85,-22.97,-42.03,74.8,19.1
134,Santa Rosa,75,PH,1579928398,70,14.31,121.11,84.2,9.17
135,Inirida,99,CO,1579928399,89,3.87,-67.92,75.74,1.28
136,Cody,1,US,1579928197,51,44.53,-109.06,37.0,4.12
137,Chernoyerkovskaya,75,RU,1579928400,70,45.43,37.77,42.8,22.37
138,Kieta,2,PG,1579928400,70,-6.22,155.63,85.14,6.51
139,Saldanha,54,ZA,1579928292,82,-33.01,17.94,66.2,12.75
140,Scottsbluff,1,US,1579928401,74,41.87,-103.67,36.0,6.93
141,Lakatoro,75,VU,1579928402,70,-16.1,167.42,84.2,6.93
142,Pisco,75,PE,1579928402,83,-13.7,-76.22,73.4,8.05
143,Acapulco de Juarez,40,MX,1579928251,88,16.86,-99.89,77.0,4.03
144,Yar-Sale,88,RU,1579928403,96,66.83,70.83,1.96,4.47
145,Marsh Harbour,100,BS,1579928404,64,26.54,-77.06,71.15,6.15
146,Makakilo City,20,US,1579928404,78,21.35,-158.09,77.0,6.93
147,Bambous Virieux,75,MU,1579928405,94,-20.34,57.76,82.0,17.22
148,Isangel,75,VU,1579928406,88,-19.55,169.27,80.6,5.82
149,Mandalgovi,0,MN,1579928406,64,45.76,106.27,18.07,8.97
150,General Roca,0,AR,1579928407,27,-39.03,-67.58,78.8,10.29
151,Ambovombe,0,MG,1579928408,46,-25.17,46.08,81.41,13.98
152,Mossamedes,86,AO,1579928409,73,-15.2,12.15,74.66,7.23
153,Rio Grande,0,BR,1579928205,95,-32.03,-52.1,66.0,12.33
154,Chifeng,0,CN,1579928409,32,42.27,118.96,29.71,4.9
155,Tongzhou,0,CN,1579928410,35,39.91,116.6,50.0,4.47
156,Watsa,100,CD,1579928410,32,3.04,29.54,70.2,2.48
157,Gwadar,15,PK,1579928401,70,25.12,62.33,70.39,7.02
158,Kodiak,75,US,1579928351,57,57.79,-152.41,19.4,8.05
159,Abiramam,20,IN,1579928412,51,9.47,78.45,82.4,8.05
160,Homer,1,US,1579928412,65,59.64,-151.55,15.8,10.83
161,Kaeo,0,NZ,1579928413,78,-35.1,173.78,75.99,7.0
162,Caraballeda,50,VE,1579928249,78,10.61,-66.85,73.4,1.12
163,Ternate,70,ID,1579928276,67,0.8,127.4,84.88,6.62
164,Berlevag,100,NO,1579928414,74,70.86,29.09,27.93,25.57
165,Mar del Plata,56,AR,1579928263,88,-38.0,-57.56,66.99,9.17
166,Broken Hill,0,AU,1579928291,17,-31.95,141.43,86.0,11.41
167,Horasan,0,TR,1579928415,60,40.05,42.17,3.09,3.09
168,Kendari,39,ID,1579928416,74,-3.94,122.5,85.17,5.37
169,Moose Factory,90,CA,1579928416,85,51.26,-80.61,21.2,6.93
170,Chokurdakh,18,RU,1579928417,95,70.63,147.92,-35.27,1.97
171,Oruzgan,30,AF,1579928417,90,32.83,66.0,29.01,7.58
172,Gualeguay,0,AR,1579928418,47,-33.14,-59.31,73.42,7.14
173,Eyl,100,SO,1579928418,77,7.98,49.82,80.1,18.92
174,Greenwood,90,US,1579928419,100,34.17,-82.12,50.0,6.93
175,Afonso Bezerra,92,BR,1579928419,74,-5.5,-36.51,79.0,9.78
176,Tucuma,47,BR,1579928419,93,-0.18,-50.05,77.07,6.82
177,Ketchikan,90,US,1579928421,93,55.34,-131.65,39.2,9.17
178,Mananjary,100,MG,1579928421,74,-21.22,48.33,78.51,13.2
179,Egvekinot,78,RU,1579928422,98,66.32,-179.17,-9.51,0.94
180,Sokoni,75,TZ,1579928422,88,-6.43,39.55,80.6,11.41
181,Bandarbeyla,100,SO,1579928424,82,9.49,50.81,78.73,20.74
182,Beyneu,57,KZ,1579928424,66,45.32,55.2,26.69,16.53
183,Qaanaaq,40,GL,1579928425,48,77.48,-69.36,-8.14,6.51
184,Buenos Aires,40,AR,1579928345,54,-34.61,-58.38,82.0,8.05
185,Lagoa,100,PT,1579928426,83,39.05,-27.98,61.47,22.57
186,Havre-Saint-Pierre,1,CA,1579928426,83,50.23,-63.6,-5.8,10.29
187,Puerto Escondido,35,MX,1579928427,91,15.85,-97.07,67.06,3.18
188,Flinders,40,AU,1579928427,61,-34.58,150.86,84.99,19.46
189,Nantucket,40,US,1579928366,86,41.28,-70.1,41.0,8.05
190,Dalvik,90,IS,1579928224,79,65.97,-18.53,28.4,39.15
191,Leningradskiy,42,RU,1579928429,82,69.38,178.42,-21.35,1.21
192,Nanortalik,100,GL,1579928429,69,60.14,-45.24,20.57,28.27
193,Alindao,94,CF,1579928429,21,5.03,21.21,63.84,8.68
194,Japura,7,ID,1579928430,45,-0.32,102.35,96.1,1.77
195,Coahuayana Viejo,20,MX,1579928430,88,18.73,-103.68,68.0,3.18
196,Coyhaique,99,CL,1579928431,48,-45.58,-72.07,60.8,5.82
197,Saint-Philippe,100,RE,1579928432,88,-21.36,55.77,82.4,25.28
198,Hasaki,75,JP,1579928432,46,35.73,140.83,50.0,8.05
199,Mundi,21,IN,1579928433,34,22.07,76.5,76.57,5.37
200,Lata,40,PT,1579928433,93,40.16,-8.33,48.2,1.12
201,Veisiejai,90,LT,1579928344,93,54.1,23.7,35.6,13.42
202,Kuhdasht,40,IR,1579928434,92,33.53,47.61,30.2,4.7
203,Pandamatenga,0,BW,1579928435,68,-18.53,25.63,72.48,9.33
204,Severnoye,100,RU,1579928435,90,56.35,78.36,22.46,10.49
205,Tessalit,87,ML,1579928436,14,20.2,1.01,68.67,6.53
206,Ormara,48,PK,1579928436,69,25.21,64.64,71.2,12.15
207,Brae,100,GB,1579928437,93,60.4,-1.35,46.4,23.04
208,Souillac,75,MU,1579928437,94,-20.52,57.52,82.0,17.22
209,Half Moon Bay,90,US,1579928181,93,37.46,-122.43,57.2,3.49
210,Esmeralda,20,CU,1579928438,93,21.85,-78.12,64.4,1.12
211,Orotukan,100,RU,1579928439,97,62.27,151.7,-28.1,2.37
212,Ola,100,RU,1579928439,75,59.58,151.28,-13.5,11.83
213,Farafenni,24,GM,1579928440,28,13.57,-15.6,78.69,9.91
214,Chilca,100,PE,1579928440,73,-12.52,-76.74,77.0,6.93
215,Upernavik,100,GL,1579928441,93,72.79,-56.15,-10.61,6.73
216,Kudahuvadhoo,93,MV,1579928441,80,2.67,72.89,82.47,15.14
217,Cidahu,75,ID,1579928442,74,-6.31,106.06,84.2,9.17
218,Klaksvik,100,FO,1579928442,100,62.23,-6.59,44.6,13.87
219,Celestun,64,MX,1579928442,73,20.87,-90.4,73.31,15.61
220,Outjo,5,NA,1579928443,48,-20.12,16.15,62.6,3.15
221,Shingu,75,JP,1579928443,57,33.73,135.98,51.8,6.93
222,Hofn,100,IS,1579928276,97,64.25,-15.21,35.42,52.61
223,Port Blair,61,IN,1579928280,73,11.67,92.75,79.97,16.26
224,Goderich,100,CA,1579928445,92,43.75,-81.72,39.99,21.0
225,Kirakira,72,SB,1579928445,81,-10.45,161.92,81.55,2.48
226,Asosa,82,ET,1579928446,28,10.07,34.53,71.73,7.81
227,Aklavik,90,CA,1579928269,76,68.22,-135.01,-4.0,10.29
228,Bathsheba,20,BB,1579928446,78,13.22,-59.52,78.8,10.29
229,Montanha,99,BR,1579928447,88,-18.13,-40.36,71.94,13.09
230,Rocha,0,UY,1579928306,49,-34.48,-54.33,68.47,8.72
231,Naze,75,JP,1579928448,78,28.37,129.48,75.2,6.93
232,Phalaborwa,14,ZA,1579928448,83,-23.94,31.14,71.6,2.24
233,Torbay,5,CA,1579928449,78,47.67,-52.73,15.01,6.93
234,Cocula,75,MX,1579928449,59,20.37,-103.82,66.99,3.13
235,Whyalla,0,AU,1579928294,50,-33.03,137.58,78.8,13.87
236,Sainte-Savine,62,FR,1579928450,100,48.3,4.05,28.4,5.82
237,Hamilton,90,US,1579928293,86,39.18,-84.53,41.0,3.36
238,Berdigestyakh,8,RU,1579928451,93,62.1,126.7,-27.53,5.77
239,Hervey Bay,40,AU,1579928451,58,-25.3,152.85,87.01,12.75
240,Cartagena,40,CO,1579928332,83,10.4,-75.51,80.6,13.87
241,Red Bluff,90,US,1579928452,100,40.18,-122.24,51.8,0.78
242,Sinnamary,39,GF,1579928271,84,5.38,-52.95,78.82,14.92
243,Chimoio,100,MZ,1579928453,80,-19.12,33.48,72.75,3.38
244,Cabo San Lucas,90,MX,1579928400,72,22.89,-109.91,68.0,5.82
245,Nishihara,75,JP,1579928454,57,26.18,127.76,80.6,16.11
246,Chui,0,UY,1579928277,82,-33.7,-53.46,68.58,11.74
247,Antalaha,100,MG,1579928455,81,-14.9,50.28,80.91,14.54
248,Bambanglipuro,82,ID,1579928456,62,-7.95,110.28,87.6,9.86
249,Kruisfontein,36,ZA,1579928456,64,-34.0,24.73,73.33,8.52
250,Qandala,91,SO,1579928457,77,11.47,49.87,75.7,3.96
251,Lompoc,1,US,1579928283,66,34.64,-120.46,59.0,8.05
252,Kropotkin,98,RU,1579928458,58,45.44,40.58,33.01,24.49
253,Clyde River,1,CA,1579928458,73,70.47,-68.59,-29.2,5.26
254,Touros,40,BR,1579928458,88,-5.2,-35.46,78.8,3.36
255,Burgeo,0,CA,1579928269,71,47.62,-57.62,18.23,7.25
256,Jiayuguan,10,CN,1579928459,30,39.82,98.3,33.82,6.51
257,Chapais,1,CA,1579928460,91,49.78,-74.85,1.4,5.82
258,Pocone,100,BR,1579928460,91,-16.26,-56.62,75.29,1.63
259,Nyagan,85,RU,1579928461,95,62.14,65.39,-1.1,4.43
260,Sao Domingos,100,BR,1579928461,97,-13.4,-46.32,69.01,4.85
261,Kholodnyy,63,RU,1579928462,99,62.72,147.95,-33.95,7.18
262,Sur,67,OM,1579928462,63,22.57,59.53,72.07,4.41
263,Vizinga,100,RU,1579928463,97,61.07,50.1,6.42,4.07
264,Mayo,1,US,1579928463,87,38.89,-76.51,48.2,10.29
265,Birjand,0,IR,1579928464,56,32.87,59.22,32.0,6.93
266,Luderitz,0,NA,1579928464,88,-26.65,15.16,64.4,1.12
267,Westport,75,US,1579928177,84,41.14,-73.36,39.2,8.05
268,San Ramon,40,US,1579928229,93,37.78,-121.98,57.99,0.56
269,Talnakh,75,RU,1579928465,85,69.49,88.4,10.4,22.37
270,Ettenheim,95,DE,1579928466,86,48.25,7.82,36.0,3.36
271,Buraidah,0,SA,1579928195,86,26.33,43.98,41.0,8.05
272,Marawi,55,PH,1579928467,86,8.0,124.29,82.99,5.99
273,Ugoofaaru,87,MV,1579928467,79,5.67,73.0,82.27,15.77
274,Pangody,91,RU,1579928468,97,65.85,74.49,-0.04,4.9
275,Airai,94,TL,1579928468,80,-8.93,125.41,77.13,2.24
276,Anadyr,90,RU,1579928469,85,64.75,177.48,14.0,2.24
277,Pevek,96,RU,1579928469,93,69.7,170.31,-21.53,4.47
278,Mumbwa,12,ZM,1579928470,89,-14.98,27.06,67.37,9.35
279,Portales,1,US,1579928470,60,34.19,-103.33,44.6,3.36
280,Bridgetown,20,BB,1579928471,78,13.1,-59.62,78.8,10.29
281,Port Hedland,0,AU,1579928471,53,-20.32,118.57,98.6,13.87
282,Mount Vernon,75,US,1579928472,89,40.91,-73.84,42.01,8.05
283,Erenhot,0,CN,1579928472,76,43.65,111.98,19.69,8.93
284,Smithers,90,CA,1579928405,86,54.78,-127.17,37.4,9.17
285,Neyshabur,1,IR,1579928196,60,36.21,58.8,35.38,1.83
286,Puerto Ayacucho,74,VE,1579928474,74,5.66,-67.62,74.12,2.55
287,Codrington,73,AU,1579928474,44,-38.27,141.97,71.01,5.99
288,Nhulunbuy,40,AU,1579928475,66,-12.23,136.77,89.6,14.99
289,Multai,22,IN,1579928475,33,21.77,78.25,74.07,6.49
290,Port Hardy,75,CA,1579928471,87,50.7,-127.42,44.6,10.29
291,Dezful,76,IR,1579928476,48,32.38,48.41,52.45,3.65
292,Menongue,86,AO,1579928477,80,-14.66,17.69,66.04,2.35
293,Vao,33,NC,1579928477,84,-22.67,167.48,77.34,20.85
294,Fairbanks,1,US,1579928403,70,64.84,-147.72,-2.2,3.24
295,Praia,74,CV,1579928478,56,14.92,-23.51,73.4,17.22
296,Olafsvik,100,IS,1579928478,93,64.89,-23.71,28.96,33.4
297,Los Llanos de Aridane,0,ES,1579928281,54,28.66,-17.92,59.0,9.17
298,Dikson,100,RU,1579928479,95,73.51,80.55,-2.24,7.4
299,Vigia del Fuerte,100,CO,1579928480,98,6.58,-76.89,72.18,3.49
300,Severo-Kuril'sk,97,RU,1579928298,89,50.68,156.12,15.85,48.07
301,Kuruman,0,ZA,1579928481,65,-27.45,23.43,68.61,18.48
302,Olinda,90,BR,1579928482,78,-8.01,-34.86,82.4,5.82
303,Mount Gambier,90,AU,1579928280,56,-37.83,140.77,73.4,17.22
304,Ariquemes,100,BR,1579928482,98,-9.91,-63.04,73.18,2.46
305,Margate,75,GB,1579928316,93,51.38,1.39,42.01,4.7
306,Maues,97,BR,1579928483,74,-3.38,-57.72,76.8,2.06
307,Alofi,100,NU,1579928484,88,-19.06,-169.92,80.6,5.82
308,Tabory,42,RU,1579928484,93,58.52,64.55,6.67,7.87
309,Sarangani,57,PH,1579928485,76,5.4,125.46,82.53,11.95
310,Boralday,90,KZ,1579928485,100,43.36,76.86,32.0,6.71
311,Sola,5,VU,1579928486,77,-13.88,167.55,82.35,13.53
312,Klichka,0,RU,1579928486,84,50.45,118.0,0.52,5.21
313,Libertador General San Martin,0,AR,1579928486,77,-23.81,-64.79,66.09,3.33
314,Mahajanga,40,MG,1579928487,94,-15.72,46.32,78.8,4.7
315,Tashtyp,100,RU,1579928487,80,52.79,89.9,20.19,3.24
316,Nivala,80,FI,1579928488,87,63.92,25.0,27.0,7.0
317,Nezhinka,90,RU,1579928426,92,51.77,55.37,10.4,13.42
318,Palmer,90,US,1579928226,86,42.16,-72.33,36.0,8.05
319,Kholtoson,0,RU,1579928489,64,50.3,103.31,13.32,1.83
320,Pacific Grove,90,US,1579928490,87,36.62,-121.92,57.2,4.7
321,Hanting,84,CN,1579928490,38,36.77,119.21,42.33,4.99
322,Tura,0,IN,1579928491,36,25.52,90.22,72.73,4.12
323,Nicoya,0,CR,1579928402,69,10.15,-85.45,78.8,6.93
324,Jamame,97,SO,1579928493,88,0.07,42.75,80.94,18.48
325,Riyadh,0,SA,1579928404,38,24.69,46.72,46.4,15.05
326,Salinopolis,100,BR,1579928493,82,-0.61,-47.36,81.66,11.97
327,Juneau,90,US,1579928494,92,58.3,-134.42,32.0,3.36
328,Assens,100,DK,1579928494,100,55.27,9.9,43.0,8.05
329,Yantal,100,RU,1579928495,93,56.85,105.25,22.75,9.91
330,Dabola,35,GN,1579928495,15,10.75,-11.12,62.73,1.48
331,Port Elizabeth,48,ZA,1579928496,88,-33.92,25.57,64.4,12.75
332,Sobolevo,99,RU,1579928496,91,54.43,31.9,36.0,15.59
333,Husavik,90,IS,1579928275,79,66.04,-17.34,28.4,39.15
334,Maceio,20,BR,1579928497,88,-9.67,-35.74,77.0,5.82
335,Billings,75,US,1579928411,52,45.78,-108.5,42.8,9.17
336,Maku,0,IR,1579928498,45,39.29,44.45,14.63,4.29
337,Yumen,0,CN,1579928289,42,40.28,97.2,30.29,14.88
338,Krasnosel'kup,100,RU,1579928499,93,65.7,82.47,6.13,15.79
339,Mehamn,100,NO,1579928499,75,71.04,27.85,23.65,19.48
340,Aldergrove,40,CA,1579928400,100,49.06,-122.47,48.2,6.93
341,Manvi,42,IN,1579928500,36,15.98,77.05,83.32,7.18
342,Yenagoa,53,NG,1579928501,83,4.92,6.26,69.39,2.15
343,Comodoro Rivadavia,1,AR,1579928323,43,-45.87,-67.5,69.8,13.87
344,Bronnitsy,75,RU,1579928501,87,55.42,38.27,37.99,13.42
345,Muli,94,MV,1579928502,80,2.92,73.57,82.44,14.67
346,Podor,96,MR,1579928502,23,16.65,-14.96,77.65,9.73
347,Aykhal,90,RU,1579928503,74,66.0,111.5,-22.0,8.95
348,Mattru,0,SL,1579928265,95,7.62,-11.83,71.35,2.04
349,Panji,57,ID,1579928504,72,-7.73,114.1,84.38,9.84
350,Winnemucca,75,US,1579928505,74,40.97,-117.74,33.8,6.93
351,Benguela,100,AO,1579928505,79,-12.58,13.41,77.47,4.27
352,Port Lincoln,1,AU,1579928505,56,-34.73,135.87,73.44,7.65
353,Yaan,59,NG,1579928506,12,7.38,8.57,65.26,6.22
354,Barda,14,AZ,1579928287,85,40.37,47.13,23.0,2.24
355,Ermelo,75,ZA,1579928507,100,-26.53,29.98,59.0,6.93
356,Oriximina,99,BR,1579928508,83,-1.77,-55.87,78.31,6.82
357,Dongsheng,0,CN,1579928508,60,39.82,109.98,27.72,4.03
358,Dunedin,78,NZ,1579928489,82,-45.87,170.5,61.0,8.99
359,Narasannapeta,28,IN,1579928509,47,18.42,84.05,83.91,4.59
360,Octeville,90,FR,1579928510,100,49.63,-1.64,39.99,6.93
361,Tazmalt,83,DZ,1579928510,61,36.39,4.4,50.0,13.87
362,Shahr-e Babak,0,IR,1579928511,40,30.12,55.12,40.26,8.93
363,Maniitsoq,62,GL,1579928511,66,65.42,-52.9,9.59,3.11
364,Tilichiki,100,RU,1579928511,83,60.47,166.1,27.1,26.04
365,Saint-Pierre,95,RE,1579928512,88,-21.34,55.48,82.4,25.28
366,Dryden,90,CA,1579928512,85,49.78,-92.75,21.2,6.93
367,Ulladulla,40,AU,1579928513,61,-35.35,150.47,84.0,19.46
368,Adrar,99,MR,1579928513,49,20.5,-10.07,70.43,4.63
369,Faanui,4,PF,1579928514,77,-16.48,-151.75,82.33,13.4
370,Taizhou,100,CN,1579928481,75,32.49,119.91,48.0,4.0
371,Okakarara,6,NA,1579928515,56,-20.58,17.43,73.2,2.53
372,Yuzhne,17,UA,1579928515,85,46.62,31.1,24.8,2.24
